argila_dis,x,y
20.0,333353,8946244
60.0,335782,8949468
224.0,354402,8905960
225.0,352442,8898104
122.0,331005,8916778
123.0,331003,8915766
103.0,338082,8917618
203.0,354177,8905250
268.0,350802,8903700
225.0,352963,8902790
121.0,332531,8954210
20.0,335119,8950698
20.0,333182,8945648
20.0,338239,8945978
121.0,333968,8949822
141.0,334190,8950920
130.0,353396,8935731
480.0,344687,8961239
130.0,43654,8383512
400.0,-85173,8421499
120.0,-63513,8421995
430.0,-88694,8417718
390.0,-72450,8418094
110.0,9751,8368055
160.0,85409,8362084
150.0,-4639,8367760
480.0,344472,8961393
80.0,358772,8541895
130.0,288333,8632395
90.0,186330,8625626
250.0,537576,8642945
350.0,311357,8867265
110.0,295450,8343600
140.0,263908,8731728
140.0,331663,8507570
200.0,322739,8645981
230.0,460568,8592564
190.0,353281,8107160
170.0,142235,8362829
180.0,241627,8468942
120.0,143422,8607373
90.0,125764,8448232
90.0,231767,8554478
9.0,565092,8588629
140.0,318967,8587852
140.0,590154,8726612
80.0,564925,8695033
90.0,103314,8367585
50.0,328770,8768807
110.0,363136,8618101
120.0,126013,8384708
150.0,218660,8504503
100.0,379148,8583132
180.0,470186,8161807
220.0,478463,8522472
200.0,478449,8205689
220.0,525702,8610920
250.0,432120,8558277
100.0,470565,8621677
330.0,219313,8644889
280.0,273789,8608261
100.0,111284,8808138
80.0,378019,8841659
120.0,86704,8404133
140.0,99661,8547804
370.0,227344,8701697
190.0,60199,8498008
200.0,222422,8611246
150.0,148314,8503260
210.0,206872,8466415
140.0,95637,8588277
110.0,234167,8334313
290.0,483697,8317418
390.0,474970,8393900
170.0,447976,8475791
90.0,376121,8465542
150.0,554525,8616217
250.0,539711,8601382
50.0,444376,8292494
80.0,452023,8377823
260.0,630451,8672395
40.0,421063,8220214
50.0,475406,8561927
110.0,451377,8362997
120.0,502092,8568913
100.0,471049,8342039
160.0,360800,8058581
170.0,353304,8814198
110.0,618778,8722379
110.0,324040,8706849
120.0,312502,8808138
80.0,485509,8365689
60.0,536936,8574966
80.0,-37244,8550072
80.0,586550,8594418
40.0,407554,8813799
164.0,488290,8269910
100.0,467143,8362337
100.0,461959,8333506
60.0,570076,8662348
50.0,418595,8119521
70.0,386493,8308295
41.0,454468,8422620
20.0,457164,8067947
40.0,506388,8627343
30.0,438801,8358357
50.0,426177,8044239
185.0,373046,8357108
50.0,551593,8667472
364.0,416238,8073332
60.0,496265,8652158
70.0,520538,8780310
80.0,428486,8980949
220.0,592315,8677440
110.0,531546,8692961
100.0,581245,8633366
180.0,326718,8673546
120.0,450338,8852227
230.0,509298,8842995
80.0,492162,8760108
240.0,348534,8281848
260.0,467791,8575623
310.0,620197,8826121
230.0,251817,8496867
230.0,556021,8598551
180.0,99497,8464321
110.0,34853,8528398
140.0,116345,8523995
190.0,479255,8975155
30.0,93776,8639170
60.0,135063,8576084
130.0,544725,8721517
30.0,500623,8710410
40.0,210185,8882480
60.0,589349,8705397
90.0,176644,8471200
150.0,652935,8717549
80.0,437918,8592110
120.0,489785,8579920
120.0,500132,8598874
100.0,374343,8677274
140.0,359023,8767912
84.0,401987,8349864
70.0,464547,8639567
70.0,443414,8343556
60.0,421267,8325030
140.0,158739,8545672
290.0,549469,8901207
120.0,577506,8945277
170.0,501896,8680455
70.0,494603,8808702
120.0,614754,8864720
120.0,8052,8452124
60.0,44556,8428735
290.0,421677,8772166
80.0,465114,9023696
30.0,515778,9016333
40.0,415176,8571746
80.0,483997,8631412
40.0,453438,8694805
60.0,476908,8593217
40.0,593982,8921193
100.0,456685,8401969
250.0,29944,8412658
140.0,150948,8597918
320.0,145797,8782108
480.0,550375,8657314
480.0,543253,8616111
380.0,346572,8939507
450.0,350677,8928464
280.0,344522,8941511
160.0,522374,8977999
260.0,207380,8804853
160.0,232257,8736644
190.0,203791,8868215
70.0,459448,8857370
240.0,145873,8775065
90.0,406532,9021625
300.0,186616,8750317
390.0,588155,8839192
290.0,597245,8830122
210.0,311452,8851863
280.0,222076,8744603
190.0,107224,8359589
130.0,101527,8402820
150.0,382320,8891149
460.0,512410,8602603
60.0,432628,8601987
20.0,78856,8785350
50.0,483723,9001120
60.0,58209,8477683
60.0,228755,8923749
10.0,493887,9018215
270.0,-18942,8372342
160.0,465910,8371148
100.0,491071,8273461
140.0,-10740,8410848
190.0,-17455,8396592
230.0,-7774,8412928
180.0,32408,8517570
80.0,489927,8652335
130.0,478872,8626188
140.0,445484,8721654
100.0,595895,8717529
120.0,406357,8642135
80.0,119823,8517945
90.0,491915,8742809
40.0,489756,8678084
100.0,55001,8384781
180.0,490852,8971979
100.0,233246,8624966
20.0,106471,8735891
290.0,102192,8488466
280.0,107481,8470416
240.0,248085,8542601
120.0,257459,8596848
70.0,200248,8341801
250.0,64259,8417316
90.0,187691,8555908
140.0,154835,8452968
50.0,96295,8546814
20.0,94406,8538729
10.0,469705,8727714
60.0,355062,8848046
30.0,369273,8602772
80.0,516060,8561853
20.0,271714,8731931
60.0,575406,8600971
10.0,566123,8983987
20.0,111268,8787754
10.0,71826,8780216
14.0,511332,8972994
80.0,191465,8507755
400.0,437355,8315783
70.0,331830,8573415
120.0,507236,8588666
24.0,300898,8599027
390.0,534397,8608921
40.0,552583,8654969
90.0,-263663,8524435
420.0,-26267,8642933
430.0,-53564,8549911
150.0,-38172,8598319
37.0,57419,8418874
70.0,223961,8911979
37.0,258625,8674320
28.0,258478,8692761
22.0,166457,8483325
40.0,224030,8902757
20.0,241825,8974813
80.0,-175109,8611303
440.0,-37349,8651982
390.0,-17562,8665281
440.0,-59858,8503516
36.0,192862,8911732
230.0,326271,8932882
290.0,-23087,8668883
96.0,123708,8443965
13.0,436111,8127723
150.0,-111912,8646833
230.0,-5090,8576739
90.0,-96854,8537889
90.0,-22922,8559764
60.0,-98475,8704497
70.0,-193513,8554147
100.0,-117633,8574479
40.0,-186502,8493124
150.0,-16696,8837275
50.0,-44593,8649995
40.0,-37027,8539136
0.0,-12350,8576607
130.0,-83514,8508564
370.0,4978,8521449
200.0,22390,8779824
160.0,-78321,8519785
200.0,-70843,8508839
140.0,-135262,8631510
250.0,-107321,8519145
110.0,60689,8941793
210.0,-63791,8518239
200.0,-265740,8743509
190.0,-61235,8570116
80.0,-132261,8500037
80.0,-81498,8700308
90.0,18652,8567907
50.0,424276,8020783
70.0,5761,8578775
380.0,-153847,8647778
140.0,-60326,8525718
240.0,-107237,8515435
80.0,-24876,8613344
310.0,4640,8539926
80.0,23496,8603116
10.0,48899,8890690
40.0,-10421,8785594
10.0,446680,8159096
40.0,42283,8947118
70.0,-109546,8620948
70.0,5198,8721133
40.0,-144860,8496031
250.0,-84130,8531757
60.0,6968,8613928
130.0,46331,8651532
230.0,-162747,8638316
260.0,-155720,8705223
140.0,-111255,8800541
40.0,-188520,8572821
30.0,-28111,8750171
30.0,128538,8938831
70.0,-7211,8815230
180.0,521494,8612342
400.0,541065,8626663
332.0,229067,8735271
200.0,209808,8745648
300.0,249939,8744665
522.0,189834,8747988
121.0,493503,8194130
161.0,481670,8186195
121.0,483540,8184968
223.0,483450,8186197
60.0,484310,8187027
101.0,486683,8186691
81.0,483301,8187334
60.0,485791,8188134
60.0,487720,8187890
203.0,486678,8194588
183.0,488784,8195450
60.0,474290,8190239
60.0,474511,8190797
142.0,475437,8191044
60.0,476740,8192214
142.0,478194,8191785
81.0,475675,8190277
122.0,494274,8195205
40.0,474607,8189753
60.0,479272,8192346
60.0,479478,8193129
40.0,481871,8194523
101.0,495218,8189685
20.0,491468,8189767
101.0,493740,8193331
121.0,491614,8189662
81.0,490181,8190349
20.0,488786,8191547
80.0,492166,8198985
141.0,493797,8200029
20.0,497657,8189952
81.0,492199,8186786
329.0,493622,8192010
162.0,495847,8190105
100.0,495461,8190290
