complexo_3,x,y
0.1199999973177909,713142,7119255
0.1199999973177909,321554,7001212
0.0299999993294477,265317,7092284
0.0900000035762786,375453,7066121
0.1700000017881393,360821,7037165
0.0299999993294477,372463,7066091
0.3000000119209289,308290,7025396
0.1599999964237213,343537,7067986
0.1000000014901161,331469,7001350
0.0900000035762786,473300,6972554
0.0299999993294477,331439,7003565
0.1099999994039535,521965,7093289
0.0599999986588954,569954,7105301
0.0900000035762786,237258,6999720
0.0299999993294477,624702,6885529
0.0299999993294477,541277,6897188
0.0399999991059303,564040,6926998
0.0199999995529651,554603,7021199
0.050000000745058,554433,6982432
0.1500000059604644,447263,7050005
0.0399999991059303,397688,7027548
0.0700000002980232,442303,7046661
0.0599999986588954,509915,7005808
0.1199999973177909,395637,7035285
0.0700000002980232,293369,7026268
0.1000000014901161,475218,7002464
0.1000000014901161,651943,6865265
0.1299999952316284,727078,7114587
0.1199999973177909,716422,7075978
0.0799999982118606,680862,6832715
0.1199999973177909,704132,7056232
0.1599999964237213,716553,7083734
0.1299999952316284,691217,7058648
0.1500000059604644,722022,7053716
0.3499999940395355,656180,6815338
0.0199999995529651,663849,6805257
0.1000000014901161,611661,7073994
0.0599999986588954,597929,7104013
0.0900000035762786,715494,6854301
0.0700000002980232,668627,6866148
0.0799999982118606,683883,6838210
0.1099999994039535,402399,7060816
0.0900000035762786,581983,6957909
0.0700000002980232,502956,6930491
0.1299999952316284,450226,7055555
0.1000000014901161,687847,7100806
0.0799999982118606,495023,7054544
0.4600000083446502,303409,7019779
0.050000000745058,413658,7016590
0.1000000014901161,526959,7094387
0.0700000002980232,621526,7062826
0.0900000035762786,714740,7094847
0.2199999988079071,646431,6816573
0.1500000059604644,711416,7074954
0.270000010728836,653222,6813161
0.0700000002980232,338152,7021383
0.1099999994039535,252025,7005565
0.1000000014901161,294290,7030716
0.1199999973177909,498004,7091092
0.2199999988079071,668920,6818485
0.1500000059604644,711798,7098220
0.0900000035762786,504990,7088876
0.8700000047683716,634263,6777932
0.0299999993294477,715535,6856518
0.0799999982118606,731487,7081258
0.0399999991059303,428394,7043267
0.1000000014901161,614797,6876764
0.0700000002980232,566028,6930311
0.1400000005960464,483153,6999155
0.209999993443489,683626,6884767
0.3000000119209289,304402,7019795
0.1599999964237213,495067,6943782
0.1199999973177909,318579,7001169
0.0399999991059303,638249,6785643
1.0,662999,6871658
0.0900000035762786,701361,7072851
0.0199999995529651,694581,7086254
0.0299999993294477,423278,7057589
0.0099999997764825,496951,7094368
0.0799999982118606,692335,7069665
0.0399999991059303,561065,6922041
0.0299999993294477,554212,7022773
0.0199999995529651,590852,7105183
0.0399999991059303,585252,6955207
0.0299999993294477,543403,6899094
0.0299999993294477,622542,6881389
0.0399999991059303,678869,6938299
0.0399999991059303,585707,6914131
0.0299999993294477,554234,7022822
0.0299999993294477,529219,7019450
0.0099999997764825,469915,7003514
0.050000000745058,443647,7047703
0.0299999993294477,432632,7038574
0.0399999991059303,390829,7029297
0.0199999995529651,396486,7029101
0.0,475812,6967782
0.0399999991059303,529052,6980025
0.0799999982118606,541589,6972513
0.0399999991059303,640621,6860758
0.050000000745058,637818,6806379
0.0,564806,6900298
0.0,439061,7039614
0.0,596698,6869372
0.0,632006,6862038
0.0,522579,6919747
0.0,287572,7072611
0.0,569313,6967904
0.0,609397,7109023
0.0,250035,7041363
0.0,507163,6994773
0.0,639736,6897673
0.0099999997764825,298456,7008581
0.1599999964237213,336440,6998554
0.1000000014901161,537894,6981060
0.2300000041723251,659614,6870607
0.0700000002980232,658195,6822240
0.0799999982118606,649001,6797439
0.3100000023841858,688977,7024911
0.0700000002980232,643835,7045374
0.2000000029802322,701926,7019564
