hidrogenio,x,y
6.699999809265137,713142,7119255
6.099999904632568,321554,7001212
13.399999618530272,265317,7092284
12.600000381469728,375453,7066121
4.699999809265137,360821,7037165
10.100000381469728,372463,7066091
8.300000190734863,308290,7025396
7.400000095367432,343537,7067986
15.0,331469,7001350
11.600000381469728,473300,6972554
12.899999618530272,331439,7003565
10.699999809265137,521965,7093289
15.5,569954,7105301
4.300000190734863,237258,6999720
11.899999618530272,624702,6885529
9.899999618530272,541277,6897188
8.0,564040,6926998
8.100000381469727,554603,7021199
10.5,554433,6982432
11.699999809265137,447263,7050005
19.89999961853028,397688,7027548
14.100000381469728,442303,7046661
12.199999809265137,509915,7005808
11.899999618530272,395637,7035285
4.300000190734863,293369,7026268
3.5999999046325684,475218,7002464
4.300000190734863,651943,6865265
6.300000190734863,727078,7114587
6.099999904632568,716422,7075978
3.5999999046325684,680862,6832715
6.0,704132,7056232
12.199999809265137,716553,7083734
6.800000190734863,691217,7058648
5.800000190734863,722022,7053716
7.0,656180,6815338
0.2000000029802322,663849,6805257
7.199999809265137,611661,7073994
9.600000381469728,597929,7104013
4.199999809265137,715494,6854301
4.300000190734863,668627,6866148
2.799999952316284,683883,6838210
10.600000381469728,402399,7060816
11.899999618530272,581983,6957909
8.699999809265137,502956,6930491
16.799999237060547,450226,7055555
13.199999809265137,687847,7100806
15.100000381469728,495023,7054544
4.400000095367432,303409,7019779
22.299999237060547,413658,7016590
18.600000381469727,398424,7059678
10.0,526959,7094387
9.899999618530272,621526,7062826
8.600000381469727,714740,7094847
5.699999809265137,646431,6816573
12.0,711416,7074954
3.200000047683716,653222,6813161
4.199999809265137,338152,7021383
4.599999904632568,252025,7005565
8.0,294290,7030716
10.5,498004,7091092
15.199999809265137,668920,6818485
8.5,711798,7098220
33.20000076293945,504990,7088876
30.600000381469727,634263,6777932
0.8999999761581421,715535,6856518
3.5999999046325684,731487,7081258
18.600000381469727,428394,7043267
28.39999961853028,614797,6876764
10.600000381469728,566028,6930311
5.400000095367432,483153,6999155
2.5999999046325684,683626,6884767
5.800000190734863,304402,7019795
1.600000023841858,495067,6943782
2.0999999046325684,318579,7001169
0.4000000059604645,638249,6785643
7.570000171661377,662764,6870129
4.400000095367432,662999,6871658
9.899999618530272,701361,7072851
7.400000095367432,694581,7086254
16.899999618530273,423278,7057589
3.700000047683716,496951,7094368
13.300000190734863,692335,7069665
2.650000095367432,373774,6995073
3.549999952316284,375480,6994309
3.3499999046325684,375363,6993603
3.200000047683716,374598,6999073
3.400000095367432,373127,6995309
3.5,373539,6993838
2.150000095367432,373716,6993956
4.300000190734863,374598,6990662
2.8499999046325684,374774,6989253
2.450000047683716,374539,6998750
2.450000047683716,372186,6991779
9.0,561065,6922041
9.0,554212,7022773
10.399999618530272,590852,7105183
16.299999237060547,585252,6955207
9.899999618530272,543403,6899094
11.899999618530272,622542,6881389
10.600000381469728,678869,6938299
10.199999809265137,585707,6914131
9.0,554234,7022822
13.899999618530272,529219,7019450
9.199999809265137,469915,7003514
10.100000381469728,443647,7047703
15.600000381469728,432632,7038574
18.299999237060547,390829,7029297
7.199999809265137,396486,7029101
11.18000030517578,475812,6967782
8.699999809265137,529052,6980025
11.899999618530272,541589,6972513
15.100000381469728,640621,6860758
4.300000190734863,637818,6806379
9.600000381469728,564806,6900298
10.800000190734863,439061,7039614
11.5,596698,6869372
19.100000381469727,632006,6862038
13.100000381469728,522579,6919747
10.0,287572,7072611
13.199999809265137,569313,6967904
7.0,609397,7109023
9.600000381469728,250035,7041363
8.399999618530273,507163,6994773
8.300000190734863,639736,6897673
