nitrogenio,x,y
2.200000047683716,713142,7119255
1.0,321554,7001212
2.5999999046325684,265317,7092284
2.5999999046325684,375453,7066121
1.7000000476837158,360821,7037165
2.0999999046325684,372463,7066091
2.400000095367432,308290,7025396
2.299999952316284,343537,7067986
4.0,331469,7001350
2.299999952316284,473300,6972554
3.299999952316284,331439,7003565
2.799999952316284,521965,7093289
3.400000095367432,569954,7105301
2.0,237258,6999720
2.0999999046325684,624702,6885529
2.400000095367432,541277,6897188
1.7999999523162842,564040,6926998
2.0,554603,7021199
2.400000095367432,554433,6982432
3.0,447263,7050005
4.0,397688,7027548
3.299999952316284,442303,7046661
2.799999952316284,509915,7005808
2.900000095367432,395637,7035285
1.399999976158142,293369,7026268
2.5999999046325684,475218,7002464
1.399999976158142,651943,6865265
2.400000095367432,727078,7114587
1.600000023841858,716422,7075978
1.5,680862,6832715
1.5,704132,7056232
3.0,716553,7083734
2.0999999046325684,691217,7058648
1.600000023841858,722022,7053716
2.5999999046325684,656180,6815338
0.4000000059604645,663849,6805257
3.5999999046325684,611661,7073994
1.899999976158142,597929,7104013
1.100000023841858,715494,6854301
2.0999999046325684,668627,6866148
0.8999999761581421,683883,6838210
2.400000095367432,402399,7060816
2.5999999046325684,581983,6957909
2.0999999046325684,502956,6930491
3.200000047683716,450226,7055555
2.5,687847,7100806
4.099999904632568,495023,7054544
2.400000095367432,303409,7019779
4.699999809265137,413658,7016590
2.5,526959,7094387
1.7000000476837158,621526,7062826
2.5,714740,7094847
1.399999976158142,646431,6816573
2.5,711416,7074954
1.2000000476837158,653222,6813161
4.800000190734863,338152,7021383
1.7000000476837158,252025,7005565
2.299999952316284,294290,7030716
3.299999952316284,498004,7091092
4.599999904632568,668920,6818485
1.7999999523162842,711798,7098220
6.0,504990,7088876
11.800000190734863,634263,6777932
0.5,715535,6856518
0.800000011920929,731487,7081258
3.299999952316284,428394,7043267
3.900000095367432,614797,6876764
2.700000047683716,566028,6930311
3.0,483153,6999155
1.399999976158142,683626,6884767
1.7999999523162842,304402,7019795
1.399999976158142,495067,6943782
1.899999976158142,318579,7001169
0.3000000119209289,638249,6785643
2.5,701361,7072851
3.400000095367432,694581,7086254
2.5999999046325684,423278,7057589
0.699999988079071,496951,7094368
3.299999952316284,692335,7069665
1.899999976158142,561065,6922041
2.0,554212,7022773
1.899999976158142,590852,7105183
2.299999952316284,585252,6955207
2.400000095367432,543403,6899094
2.0999999046325684,622542,6881389
2.700000047683716,678869,6938299
2.700000047683716,585707,6914131
2.0,554234,7022822
3.700000047683716,529219,7019450
2.400000095367432,469915,7003514
2.5999999046325684,443647,7047703
3.0999999046325684,432632,7038574
3.0,390829,7029297
2.400000095367432,396486,7029101
2.5,529052,6980025
2.799999952316284,541589,6972513
2.5,640621,6860758
3.200000047683716,564806,6900298
0.2300000041723251,439061,7039614
0.2300000041723251,596698,6869372
0.4699999988079071,632006,6862038
2.299999952316284,522579,6919747
3.0,287572,7072611
0.3100000023841858,569313,6967904
1.2999999523162842,609397,7109023
1.0,250035,7041363
5.0,507163,6994773
0.1599999964237213,639736,6897673
1.2999999523162842,298456,7008581
4.699999809265137,336440,6998554
1.899999976158142,537894,6981060
6.0,659614,6870607
2.299999952316284,658195,6822240
1.0,649001,6797439
4.699999809265137,688977,7024911
2.0999999046325684,643835,7045374
4.400000095367432,701926,7019564
